128	4	0.10	10069.59
256	4	0.15	6638.20
384	4	0.24	4146.30
512	4	0.69	1449.79
640	4	0.56	1794.65
768	4	0.48	2080.67
896	4	1.27	789.56
1024	4	1.12	889.20
1152	4	0.99	1011.49
1280	4	1.59	629.51
1408	4	1.28	778.33
1536	4	1.33	753.57
1664	4	1.53	652.34
1792	4	1.76	569.54
1920	4	2.78	359.25
2048	4	2.96	337.81
2176	4	2.39	418.71
2304	4	2.26	442.06
2432	4	4.79	208.85
2560	4	3.71	269.69
2688	4	3.90	256.15
2816	4	4.10	243.63
2944	4	4.28	233.82
3072	4	4.46	224.39
3200	4	6.88	145.40
3328	4	4.45	224.84
3456	4	5.92	168.95
3584	4	5.33	187.60
3712	4	4.97	201.28
3840	4	3.51	284.56
3968	4	3.85	259.63
4096	4	6.00	166.58
4224	4	5.37	186.35
4352	4	5.77	173.29
4480	4	10.41	96.03
4608	4	8.07	123.91
4736	4	5.73	174.57
4864	4	11.59	86.25
4992	4	10.13	98.68
5120	4	10.70	93.49
5248	4	11.29	88.59
5376	4	4.94	202.39
5504	4	7.98	125.30
5632	4	13.14	76.12
5760	4	5.29	189.14
5888	4	12.40	80.62
6016	4	7.41	134.86
6144	4	8.57	116.62
6272	4	8.78	113.86
6400	4	9.28	107.77
6528	4	16.74	59.73
6656	4	14.35	69.71
6784	4	13.81	72.42
6912	4	15.83	63.18
7040	4	11.25	88.87
7168	4	13.75	72.71
7296	4	16.57	60.37
7424	4	16.47	60.72
7552	4	9.36	106.88
7680	4	11.78	84.91
7808	4	10.56	94.66
7936	4	18.13	55.17
8064	4	20.14	49.66
8192	4	18.44	54.22
128	8	0.13	7772.67
256	8	0.36	2751.46
384	8	0.62	1607.33
512	8	0.64	1571.73
640	8	0.94	1062.75
768	8	1.06	945.57
896	8	1.55	646.19
1024	8	1.89	528.21
1152	8	2.12	471.50
1280	8	2.33	428.92
1408	8	2.26	443.00
1536	8	3.02	331.48
1664	8	3.89	257.35
1792	8	5.22	191.44
1920	8	5.81	172.25
